OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,comb,down_topmass,1,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-6.7004664742853492e-05 
0,comb,down_topmass,1,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00017532445781398565 
0,comb,down_topmass,1,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00037019670708104968 
0,comb,down_topmass,1,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00025554216699674726 
0,comb,down_topmass,1,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0010715523967519403 
0,comb,down_topmass,1,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0014590739738196135 
0,comb,down_topmass,1,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-2.0257084543118253e-05 
0,comb,down_topmass,1,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-7.8385011875070632e-05 
0,comb,down_topmass,1,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00032539854873903096 
0,comb,down_topmass,0,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-2.6801864805747755e-05 
0,comb,down_topmass,0,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-7.0129783125594258e-05 
0,comb,down_topmass,0,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00014807868865318596 
0,comb,down_topmass,0,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00010221687261946499 
0,comb,down_topmass,0,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.0004286209587007761 
0,comb,down_topmass,0,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.00058362958952784538 
0,comb,down_topmass,0,0.0,2.5,200,300,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-8.1028338172473013e-06 
0,comb,down_topmass,0,0.0,2.5,300,600,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-3.1354004022432491e-05 
0,comb,down_topmass,0,0.0,2.5,600,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)- -0.00013015941658522934 
